Channel;Name;Units;Hz;Filter;Color
time;time;s;200;0;
CAN_ID;CAN_ID;;200;0;
CAN_byte[0];CAN_byte[0];;200;0;
CAN_byte[1];CAN_byte[1];;200;0;
CAN_byte[2];CAN_byte[2];;200;0;
CAN_byte[3];CAN_byte[3];;200;0;
CAN_byte[4];CAN_byte[4];;200;0;
CAN_byte[5];CAN_byte[5];;200;0;
CAN_byte[6];CAN_byte[6];;200;0;
CAN_byte[7];CAN_byte[7];;200;0;
A_1;A_1;V;200;0;
LVDTFL;LVDT FL;mm;200;5;
LVDTRR;LVDT RR;mm;200;5;
A_4;A_4;V;200;0;
A_5;A_5;V;200;0;
A_6;A_6;V;200;0;
LVDTRL;LVDT RL;mm;200;5;red
LVDTFR;LVDT FR;mm;200;5;blue
A_9;A_9;V;200;0;
A_1_map;A_1_map;;200;0;
LVDTFLmap;LVDTFLmap;mm;200;5;orange
LVDTRRmap;LVDTRRmap;mm;200;5;green
A_4_map;A_4_map;;200;0;
A_5_map;A_5_map;;200;0;
A_6_map;A_6_map;;200;0;
LVDTRLmap;LVDTRLmap;mm;200;5;
LVDTFRmap;LVDTFRmap;mm;200;5;
A_9_map;A_9_map;V;200;0;blue
O_1;O_1;;200;0;
O_2;O_2;;200;0;
O_3;O_3;;200;0;
GForceLat;GForceLat;G;200;5;red
GForceLong;GForceLong;G;200;5;green
GForceVert;GForceVert;G;200;5;
gyro_X;gyro_X;deg/s;200;5;
gyro_Y;gyro_Y;deg/s;200;5;
gyro_z;gyro_z;deg/s;200;5;
ncuTemp;ncuTemp;C;200;0;
atmelTemp;atmelTemp;C;200;0;
sd_bps;sd_bps;bps;200;0;
fileSize;fileSize;bytes;200;0;
max_enable;max_enable;;200;0;
TKRR;TKRR;C;2;0;green
TKRL;TKRL;C;2;0;red
TKFR;TKFR;C;2;0;blue
TKFL;TKFL;C;2;0;orange
RPM;RPM;rpm;35;0;red
Gear;Gear;;35;0;
BatteryVoltage;BatteryVoltage;V;35;0;green
OilPressure;OilPressure;Bar;35;0;orange
Speed;Speed;Km/h;35;0;blue
TPS;TPS;%;35;0;green
SteeringAngle;SteeringAngle;deg;35;0;black
ECU_GForceLat;ECU_GForceLat;;35;0;
Lambda;Lambda;;35;0;
MAP;MAP;kpa;35;0;orange
FuelPressure;FuelPressure;bar;35;0;orange
BrakePressure;BrakePressure;bar;35;0;orange
EngineTemp;EngineTemp;C;35;0;purple
OilTemp;OilTemp;C;35;0;purple
AirTemp;AirTemp;C;35;0;purple
RadOutTemp;RadOutTemp;C;35;0;purple
GPSlatHW;GPSlatHW; ;35;0;
GPSlatLW;GPSlatLW; ;35;0;
GPSlongHW;GPSlongHW; ;35;0;
GPSlongLW;GPSlongLW; ;35;0;
PneuDianteiroInner;PneuDianteiroInner;C;35;0;
PneuDianteiroCenter;PneuDianteiroCenter;C;35;0;
PneuDianteiroOuter;PneuDianteiroOuter;C;35;0;
PneuTraseiroInner;PneuTraseiroInner;C;35;0;
PneuTraseiroCenter;PneuTraseiroCenter;C;35;0;
PneuTraseiroOuter;PneuTraseiroOuter;C;35;0;
